date time sender month day length count word ily miss baby sex sorry insult tired drag n_pos n_neg anger anticipation disgust fear joy sadness surprise trust negative positive
2018-09-10 14 Andrew Sep Mon 15 19937 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 14 Maik Sep Mon 58 13642 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 14 Andrew Sep Mon 81 19937 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 14 Andrew Sep Mon 25 19937 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 14 Maik Sep Mon 45 13642 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 16 Andrew Sep Mon 45 19937 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 16 Andrew Sep Mon 38 19937 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 16 Maik Sep Mon 97 13642 19 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-10 16 Andrew Sep Mon 59 19937 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 16 Maik Sep Mon 113 13642 22 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0
2018-09-10 16 Andrew Sep Mon 152 19937 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 16 Maik Sep Mon 24 13642 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
2018-09-10 17 Andrew Sep Mon 37 19937 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 17 Maik Sep Mon 157 13642 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 17 Andrew Sep Mon 5 19937 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 17 Andrew Sep Mon 11 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 17 Andrew Sep Mon 20 19937 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
2018-09-10 17 Maik Sep Mon 82 13642 18 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-10 17 Andrew Sep Mon 24 19937 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 17 Andrew Sep Mon 22 19937 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 17 Andrew Sep Mon 20 19937 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
2018-09-10 17 Maik Sep Mon 66 13642 12 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1
2018-09-10 17 Andrew Sep Mon 7 19937 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1
2018-09-10 17 Andrew Sep Mon 73 19937 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
